Criterion,Keywords,Questions,Original Question,
Approval,board approval,Was the statement approved by the governing body of the reporting entity?,,
C1,reporting entities,Does the entity describe the relevant reporting entity(s) of the statement?,,
C2,operations,Does the entity describe its own operations and the nature and types of activities it undertakes?,"Does the entity describe its own operations and the nature and types of activities it undertakes, and provides the locations of its operations?",
C2,structure,Did the entity provide information on the workforce composition?,,
C2,structure,Does the entity describe its own structure?,Does the entity describe its structure?,
C2,structure,"Does the entity describe the structure of its subsidiaries, brands and other businesses?","Does the entity describe the general structure of the entity and the ownership structure of each of its subsidiaries, brands and other businesses?",
C2,supply chains ,Does the entity disclose the names and/or addresses of suppliers beyond tier one?,Does the entity disclose the names and addresses of suppliers beyond tier one?,
C2,supply chains ,Does the entity disclose the names and/or addresses of tier one suppliers?,"Does the entity disclose the number, names and addresses of first-tier suppliers?",
C2,supply chains ,Does the entity identify the source country or region from where they procure goods and/or services?,Does the entity identify the source country or region from where they procure goods and services?,
C3,incident,Does the entity describe specific allegations and incidents of  modern slavery that it has encountered and/or provides details of products and services affected?,Does the entity describe specific allegations and incidents of  modern slavery that it has encountered and provides details of products and services affected?,
C3,minimum wage,Has the company identified minimum wage as a risk in their supply chain?,,
C3,recruitment,Did the entity disclose the use of predominantly migrant / temporary workforce as a risk in their supply chain?,,
C3,risks - caused,Did the entity disclose their role in causing or contributing to any violations identified in their supply chain?,,
C3,risks - description,Does the entity disclose the risk of modern slavery in its operations and supply chain?,,
C3,risks - location,Does the entity describe where in its business or supply chains risks of modern slavery are present?,,
C4,mitigation - code of conduct,Did the entity disclose that it has a supplier code of conduct?,,
C4,mitigation - contracts,Did the entity include modern slavery provisions in contracts with suppliers?,Did the entity use modern slavery clause in their contracts?,
C4,mitigation - grievance mechanism,Did the entity disclose the provision of  a grievance mechanism in its own operations or supply chain?,,
C4,mitigation - health and safety,Did the entity disclose how they ensure health and safety standards are met in the workplace and/or staff accommodation?,,
C4,mitigation - leadership,"Did the entity disclose if it has a committee, team, programme or officer responsible for the implementation of its modern slavery policies and/or strategy? ",Did the entity disclose the leadership that have oversight and are responsible for their modern slavery strategy?,
C4,mitigation - living wage,Did the entity disclose how they ensure workers earn a living wage / minimum wage in their operations and supply chain?,Did the entity disclose how they ensure workers earn a living wage in their supply chain?,
C4,mitigation - ms policy,Did the entity disclose information about its policies on combating modern slavery in its direct or indirect supply chain?,,
C4,mitigation - ms policy standards,Did the entity disclose a policy on modern slavery that references international human rights standards or guidelines?,,
C4,mitigation - responsible purchasing,Did the entity disclose adopting practices to ensure responsible purchasing?,,
C4,mitigation - risk - address,Did the entity describe steps it has taken to address the risk of modern slavery in its operations and supply chain?,,
C4,mitigation - risk - assessment,"Did the entity disclose that it has undertaken a risk assessment in its own business and supply chains, including a description of its assessment processes?",,
C4,mitigation - risk - assessment - tools,"Did the entity disclose the use of supplier audits, site visits, supplier surveys or questionnaires in the screening of suppliers?","Did the entity disclose the screening of suppliers through the use of supplier audits, site visits, supplier surveys or questionnaires, supplier monitoring?",
C4,mitigation - suppliers cascade,Did the entity disclose requiring its direct suppliers to cascade its modern slavery standards down their own supply chain?,,
C4,mitigation - suppliers monitoring,"Did the entity disclose information on how it monitors supplier risk, including  engagement with workers and other stakeholders?",Did the entity disclose information about supplier monitoring?,"Monitoring of supplier risk includes engagement with stakeholders, including workers"
C4,mitigation - training,Did the entity disclose that it conducts training on its modern slavery-related policies standards and processes with its staff and / or suppliers?,,
C4,remediation,Did the entity disclose a process for responding to allegations or incidents of modern slavery in their operations or supply chain?,,
C4,remediation - corrective actions,"Did the entity describe any corrective steps it has taken, or would take, in its response to modern slavery incidents?",,
C5,effectiveness,Did the entity disclose how it assesses the effectiveness of its actions?,,
C5,KPI,Did the entity disclose performance indicators for measuring the effectiveness of their actions?,,
C5,KPI - training,Did the entity disclose the number of employees and/or suppliers that were trained?,Did the entity disclose the number of employees and staff that were trained?,
C6,consultation,Did the entity disclose its consultation process among its affiliated entities?,,
Signature,signature,Was the statement signed by an appropriate person?,,
